run_id,firm_id,company,relative_timepoint,observation_recommendation,branding_text,branding_word_count,branding_token_count,source_page_count,source_page_urls_json,source_page_categories_json,n_duplicate_pages_within_observation,duplicate_tokens_removed,duplicate_words_removed,n_unique_branding_pages,deduplication_applied,n_pages_de,n_pages_en,n_pages_other,n_pages_unknown,tokens_de,tokens_en,tokens_other,tokens_unknown,primary_language_by_tokens,german_text_analysis_eligible,german_text_analysis_exclusion_reason,corpus_language_scope,text_analysis_eligible,text_analysis_quality_band,text_analysis_exclusion_reason
95bac495-6940-47be-b3ff-339fd97afa3e,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_pre_event,include,,0,0,0,[],[],5,230,230,17,True,0,0,0,0,0,0,0,0,unknown,True,,other,True,high,
95bac495-6940-47be-b3ff-339fd97afa3e,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_event,include,,0,0,0,[],[],4,184,184,18,True,0,0,0,0,0,0,0,0,unknown,True,,other,True,high,
95bac495-6940-47be-b3ff-339fd97afa3e,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,event,include,,0,0,0,[],[],0,0,0,24,True,0,0,0,0,0,0,0,0,unknown,True,,other,True,high,
95bac495-6940-47be-b3ff-339fd97afa3e,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_event,include,,0,0,0,[],[],0,0,0,24,True,0,0,0,0,0,0,0,0,unknown,True,,other,True,high,
95bac495-6940-47be-b3ff-339fd97afa3e,2,PETER-LACKE HOLDING GMBH,pre_pre_event,include,,0,0,0,[],[],4,603,603,19,True,0,0,0,0,0,0,0,0,unknown,True,,other,True,high,
95bac495-6940-47be-b3ff-339fd97afa3e,2,PETER-LACKE HOLDING GMBH,pre_event,include,"公司介绍 - 佩特涂料 我们是以创新和市场为导向的企业，自己拥有整套完备的关于涂料研发和生产的系统。 企业成功的关键还在于:与客户建立直接广泛的业务沟通， 使我们能在第一时间迅速 反应，拿出针对性的涂料解决方案， 从而在竞争中占据主动。 时时刻刻为客户服务是企业的宗旨， 从产品意向的诞生到市场成熟我们始终伴随着您。 遍布全球的分厂和分支机构形成网络，确保了供应产品的质量标准和安全有效。 挑战实践中遇到的困难，提供务实的涂料解决方案， 使佩特涂料成为本行业中工艺技术的指南。 佩特涂料-是以实践为导向，生产和销售国际化的企业 迅速和精确是我们取得客户信赖的重要因素， 客户的理想和追求是我们时刻关注的焦点， 因此我们的努力方向会因客户的需求不同而大径相庭----然而满足客户的追求却是唯一决定我们奋斗目标的关键因素。 涂料解决方案中涉及到的核心内容: 专业沟通，订意项， 开发研制，试验室试制，出具验证报告等 均可在佩特涂料企业内部执行完成， 这样的一条龙式服务使我们在同行业中独占鳌头。 人才和团队 我们不将自己只局限于涂料行业， 而是跨学科多领域紧密联系，密切配合共同致力于涂料的研制生产。从咨询， 到研发，订计划，直到生产，每个环节， 每个人都必须眼睛朝外，顾及其它学科领域， 以便汲取经验和教训， 避免重蹈覆辙，确保解决方案的迅速完成 企业将近半数的员工从事新型涂料的开发研制。研发领域分为基础涂料开发和针对客户要求进行的特殊涂料开发。 一个赋予战斗力的强强组合。 质量和证书 完美的质量管理体系渗透到每天工作的方方面面。尤其是否与客户进行准确无误的业务沟通起着举足轻重的作用， 因此我们的质量管理体系要求， 业务咨询首先由应用领域的技术人员来承担。 传统和创新 谁坚持不懈地数年如一日的从事市场新产品的开发， 谁就有权随时回顾自己的历史及所走过的历程， 体味传统的价值， 佩特涂料百年历史恰好验证了这一点。

Direkt zum Hauptmenü, zum Inhalt. 佩特涂企业集团，现在由其第4代人经营管理， 企业秉承的快速决策程序和简明扼要的组织机构对企业总裁Andreas Peter意义重大。 颜料展示 面对合作伙伴，企业员工及社会我们始终负有责任感。对人性和市场的敏锐感觉， 丰富的专业知识 ， 勇于创新的冒险精神决定了我们的思维和贸易方式。 我们将继续致力于企业集团的全球化， 不断开辟扩大新的市场和应用领域。 企业大事记 | | 1906 | Ernst Peter 和他的儿子Wilhelm成立自己的公司， 主要经营画画和给家具上漆 | 1920 | ，以油漆-油性颜料-Kitt厂为名开始生产自己的产品 | 1945 | 开始生产PEHAZELL-NV-油漆和PEHALUX-合成树脂油漆 | 1950 | 研制销售PEHADUR 烘漆 | 1960 | 搬迁到Hiddenhausen-Schweicheln，生产销售PEHAPOL-双组分涂料 | 1978 | Andreas Peter出任公司总裁，生产销售PEHAPOL-塑料油漆 | 1980 | 佩特涂料工艺系统应用于汽车制造行业 | 1990 | PEHALUX-UV紫外线涂料应用于木材加工及塑料行业， 开始研制应用于平面和凹形玻璃行业的涂料 | 2000 | 将纳米技术应用在水性涂料中 | 2006 | 佩特涂料100周年 | 公司 总裁 | 图片展 |

联系人 - 联络我们 与您保持联系对我们至关重要， 请您选择与我们取得联系的方式 打电话，或传真或发电子邮件告诉我们您的建议和要求， 欢迎下次访问本网站。 地址和联系人 PETER-LACKE GmbH Herforder Strasse 80 D-32120 Hiddenhausen 电话.: +49 (0) 52 21 96 25 - 0 传真: +49 (0) 52 21 96 25 - 99 电子邮箱: GDY info CKJ [-a_t-] UPK peter-lacke.com 公司网址: www.peter-lacke.com 国家 Читать дальше 到达路线图 路程计算 放大 登记表 公司企业 部门 姓名 * 街道/门牌号 邮政编码/国家 电话 传真 电子邮件 信息 安全码 输入打开图片的号码 发送 标* 号的空格必须填写

佩特涂料 色彩及更多……. Direkt zum Hauptmenü , zum Inhalt . Servicemenü Select language Deutsch English Español Polski Русский 中文 PR-范围 | 人才招聘 | 联系人 | 版面声明 国际市场 选择地点 中国 丹麦 俄罗斯 保加利亚 匈牙利 印度 土耳其 墨西哥 奥地利 德国 意大利 拉脱维亚 挪威 捷克 斯堪的纳维亚 斯洛伐克 斯洛韦尼亚 比利时 波兰 爱尔兰 爱沙尼亚 瑞典 立陶宛 罗马尼亚 美国 芬兰 英国 荷兰 马来西亚 Suche Navigation 公司介绍 佩特涂料 企业集团 PR-范围 人才招聘 联系人 产品性能 汽车车身外部涂装 汽车车身内部涂装 汽车行业的特殊性 家电及电子产品 玻璃制品 普通塑料 木材和家具 PEHAPOL贸易程序 销售及服务 总部 子公司 分支机构/代表处 贸易伙伴 创新和实际的涂料解决方案 汽车行业 外涂装 内涂装 特殊涂装 更多 家用电器/日用品/特殊部件 家用电器/日用品/特殊部件 更多 玻璃制品 平面玻璃 凹形玻璃 更多 普通塑料 内涂装/外涂装 更多 PETER-LACKE coating systems are applicable with all manufacturing techniques of rotor blades. 客户区当前正在组建中，请感兴趣的联系我们 联系人 客户服务 专供已注册了个人信息的客户及贸易伙伴使用的服务区 登陆 © 2013 PETER-LACKE PR-范围 | 人才招聘 | 联系人 | 版面声明 |",1540,1540,4,"[""http://www.peter-lacke.de/chn/peter-lacke/company/company.html"", ""http://www.peter-lacke.de/chn/peter-lacke/company/group-of-companies/group-of-companies.html"", ""http://www.peter-lacke.de/chn/peter-lacke/company/contact/contact.html"", ""http://www.peter-lacke.de/chn""]","[""company_about"", ""company_about"", ""contact"", ""unknown""]",3,1082,1082,21,True,0,0,0,4,0,0,0,1540,unknown,True,,other,True,high,
95bac495-6940-47be-b3ff-339fd97afa3e,2,PETER-LACKE HOLDING GMBH,event,sensitivity_analysis,,0,0,0,[],[],11,1044,1044,12,True,0,0,0,0,0,0,0,0,unknown,True,,other,True,high,
95bac495-6940-47be-b3ff-339fd97afa3e,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,include,,0,0,0,[],[],2,32,32,5,True,0,0,0,0,0,0,0,0,unknown,True,,other,True,high,
95bac495-6940-47be-b3ff-339fd97afa3e,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_event,include,,0,0,0,[],[],6,338,338,11,True,0,0,0,0,0,0,0,0,unknown,True,,other,True,high,
95bac495-6940-47be-b3ff-339fd97afa3e,3,ANLAGENTECHNIK LEICHTLE GMBH,event,sensitivity_analysis,,0,0,0,[],[],2,42,42,13,True,0,0,0,0,0,0,0,0,unknown,True,,other,True,high,
